DEMAND_ID,facility_id,time_min,distance_m,facility_id_foot,time_min_foot,departamento_x,facility_id_bike,time_min_bike,departamento_y,ratio_foot_car,ratio_bike_car,cambia_establecimiento_auto_vs_pie
744,365,47.660612611194125,44832.46533991379,365.0,597.759386934688,JUNIN,365.0,192.13913717105916,JUNIN,12.541999655167908,4.031403010668208,0.0
746,30057,10.580683750932668,11660.966261593145,30057.0,155.4795501545753,LAMBAYEQUE,30057.0,49.97556969254203,LAMBAYEQUE,14.694659987438907,4.723283567391075,0.0
747,8656,53.55894381406028,38966.581541433225,8656.0,519.5544205524429,JUNIN,8656.0,166.999635177571,JUNIN,9.700609899182696,3.1180531818801533,0.0
748,432,23.628386150847057,18725.33385380784,432.0,249.67111805077113,JUNIN,432.0,80.25143080203358,JUNIN,10.566575154851218,3.3963991569164635,0.0
749,8656,12.396806890207383,6184.444477950016,8656.0,82.45925970600021,JUNIN,8656.0,26.504762048357215,JUNIN,6.651653158454642,2.138031372360421,0.0
750,442,17.724061264352336,9675.873450080418,442.0,129.01164600107228,JUNIN,442.0,41.46802907177323,JUNIN,7.278898672086403,2.339646001742058,0.0
751,4370,118.65529372739591,117048.44558931117,4370.0,1570.8894373462472,LAMBAYEQUE,4370.0,501.63619538276214,LAMBAYEQUE,13.239101164380244,4.227676487281251,0.0
755,4370,142.6856620449454,97252.448557632,4370.0,1310.665678961969,LAMBAYEQUE,4370.0,416.79620810413724,LAMBAYEQUE,9.185685934926768,2.9210798207100037,0.0
757,34252,22.627353680264253,18808.888913683306,34252.0,250.78518551577736,JUNIN,34252.0,80.60952391578563,JUNIN,11.083275095245188,3.562481280614527,0.0
758,4370,112.80118067845429,115564.64576753322,4370.0,1540.8619435671092,LAMBAYEQUE,4370.0,495.2770532894276,LAMBAYEQUE,13.659980634062842,4.390708060948768,0.0
760,4370,30.922402965526057,22820.80859301712,4370.0,304.27744790689485,LAMBAYEQUE,4370.0,97.80346539864475,LAMBAYEQUE,9.840032427173256,3.162867565877117,0.0
764,442,171.14877857037405,118012.28882156395,442.0,1572.1193282944444,JUNIN,442.0,505.7305573538288,JUNIN,9.18568827324707,2.9549177129878217,0.0
766,308,21.366485268369676,19375.847193031586,308.0,233.92647540588538,JUNIN,308.0,75.19065280903457,JUNIN,10.948289925446154,3.5190931903219775,0.0
769,4370,102.39247483936967,118866.57291690723,4370.0,1584.8876388920958,LAMBAYEQUE,4370.0,509.4281696438878,LAMBAYEQUE,15.478555835069143,4.9752500898436525,0.0
